Film 	Year 	Awards 	Nominations
American Factory 	2019 	1 	1
Bombshell 	2019 	1 	3
Ford v Ferrari 	2019 	2 	4
Hair Love 	2019 	1 	1
Jojo Rabbit 	2019 	1 	6
Joker 	2019 	2 	11
Judy 	2019 	1 	2
Learning to Skateboard in a Warzone (If You're a Girl) 	2019 	1 	1
Little Women 	2019 	1 	6
Marriage Story 	2019 	1 	6
Once Upon a Time in Hollywood 	2019 	2 	10
Parasite 	2019 	4 	6
Rocketman 	2019 	1 	1
The Neighbors' Window 	2019 	1 	1
Toy Story 4 	2019 	1 	2
